ᐊᑉᕆᖄ	Afrika
ᓃᑉᐊᓐ	Japan
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	Sydamerika
ᓄᕐᒋ/nurgi	Norge
ᓯᐸᐃᓐ	Spanien
ᐊᒥᐊᓕᑲ	USA
ᓄᓇ	Jorden
ᐄᒃ	Människa
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Sverige
ᐳᓚᓐᑦ	Polen
ᓕᐋᑐᕙ	Litauen
Italy	Italien
ᐃᐆᕌᑉ	Europa
ᐊᓰᐊ	Asien
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	Nordamerika
ᐅᐃᑭᐱᑎᐊ	Wikipedia
ᐅᓱᒃ	Penis
ᐱᕐᓖᓐ	Berlin
ᖃᕋᓴᐅᔭᖅ	Dator
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Äpple
ᒎᒐᓪ	Google
ᒦᒃᓰᖂ	Mexiko
ᑳᓖᐴᕐᓃᐊ	Kalifornien
ᒧᓇᑖᒃ	Måndag
ᔭᓐᓄᐊᓕ	Januari
ᕕᐳᐊᕆ	Februari
ᓇᑦᓯᐊᓕᐅᑦ	Mars (månad)
ᐊᐃᐳᕆᓪ	April
ᒪᐃ	Maj
ᔪᓂ	Juni
ᔪᓚᐃ	Juli
ᐊᐅᒍᔅ	Augusti
ᓯᑎᒻᐳᕆ	September
ᐅᒃᑐᐳᕆ	Oktober
ᓄᕕᒻᐳᕆ	November
ᑎᓯᒻᐳᕆ	December
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Hund
China	Kina
ᐅᐃᒍᐃᕐᒥᐅᖅ	Franska
ᐃᖃᓗᒃ	Fiskar
ᐊᖓᔮᕐᓇᖅᑐᖅ	Alkoholdryck
ᐅᓛᓴ	Ryssland
ᐊᕐᕕᒃ	Valar
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Québec
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Tyskland
ᑎᖕᒥᓲᖅ	Flygplan
ᐊᑭᕋᖅᑑᑎᔪᑦ	Krig
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Grönland
ᖂᐹ/quupaa	Kuba
ᐄᓅᓯᐊ	Indonesien
ᓯᓕ	Chile
