ᎬᎿᎦᏍᏛ	Afrika
ᏣᏩᏂᏏ	Japan
ᏧᎦᎾᏮ ᎠᎹᏰᏟ	Sydamerika
ᎠᏂᏍᏆᏂᏱ	Spanien
ᏌᏊᎢᏳᎾᎵᏍᏔᏅᏍᎦᏚᎩ ᎾᎿ ᎠᎺᏰᏟ	USA
ᏇᎵᏥᎥᎻ	Belgien
ᎡᎶᎯ	Jorden
ᏣᏥ ᏩᏒᏓᎾ	George Washington
ᏫᏂᎦᏙᎯ	Finland
ᏍᏫᏕᏂ	Sverige
ᏗᏂᎹᎦ	Danmark
ᏉᎳᏂ	Polen
ᎢᏔᎵ	Italien
ᏍᏫᏍ	Schweiz
ᎠᏍᏟᏯ	Österrike
ᎪᎢᎯ	Grekland
ᎬᏃ	Turkiet
ᏉᏥᎦᎳ	Portugal
ᏳᎳᏛ	Europa
ᏓᎶᏂᎦᏍᏛ	Asien
ᏧᏴᏢ ᎠᎹᏰᏟ	Nordamerika
ᏧᏁᏍᏓᎸ	Antarktis
ᏫᎩᏇᏗᏯ	Wikipedia
ᎾᏍᎩ ᏁᏛᎳᏂ	Nederländerna
ᏩᏙᎵ	Penis
ᏄᏯᎩ BMX	New York
ᏆᎳᎩ ᎣᏆᎹ	Barack Obama
ᎫᎴ ᏗᏍᎪᏂᎯᏱ	London
ᏒᎦᏔ	Äpple
ᎺᏏᎪ	Mexiko
ᎤᏃᎸᏔᏅ	Januari
ᎧᎦᎵ	Februari
ᎠᎾᏱᎵᏒ	Mars (månad)
ᎹᏏ	Mars (planet)
ᎫᏬᏂ	April
ᎠᎾᏍᎬᏘ	Maj
ᏕᎭᎷᏱ	Juni
ᎫᏰᏉᏂ	Juli
ᎦᎶᏂ	Augusti
ᏚᎵᏍᏗ	September
ᏚᏂᏃᏗ	Oktober
ᏅᏓᏕᏆ	November
ᎥᏍᎩᏱ	December
ᏢᏓᏥ ᎤᏃᏕᎾ	Lejon
ᎩᏟ	Hund
ᎩᎵᏏᏲ	Storbritannien
ᏪᏌ	Katt
ᏓᎶᏂᎨᏍᏛ	Kina
ᎠᏣᏗ	Fiskar
ᏆᏏᎵ	Brasilien
ᏲᏂᎢ	Ryssland
Cetacea	Valar
ᎠᏛᏥ	Tyskland
ᏇᎳᎷᏍ	Vitryssland
ᎠᏂᏛᏥ ᎦᏬᏂᎯᏍᏗ	Tyska
ᏧᏁᏍᏓᎸᎯ	Island
ᎡᏍᏙᏂᏯ	Estland
ᏌᏓᏂ	Saturnus
ᏣᏥ ᎡᏙᎯ ᏊᏏ	George W. Bush
ᏳᎧᎴᏂ	Ukraina
ᏤᎩ ᏍᎦᏚᎩ	Tjeckien
ᎹᎵᏙᏫᎠ	Moldavien
ᎶᎹᏂᏯ	Rumänien
ᎹᏏᏙᏂᎢᎠ	Makedonien
ᎠᎵᏇᏂᏯ	Albanien
ᎢᏤᎢᏳᏍᏗ ᎦᏙᎯ	Grönland
ᏆᏍᏂᏯ ᎠᎴ ᎲᏤᎪᏫᎾ	Bosnien och Hercegovina
ᎠᏏᎵᏆᏌᏂ	Azerbajdzjan
ᎠᏂᏙᎳ	Andorra
ᎧᏌᎩᏍᏔᏂ	Kazakstan
ᎢᏂᏙᏂᏍᏯ	Indonesien
ᎠᏂᎬᎾ ᎧᏬᏂᎯᏍᏗ	Turkiska
ᎤᏍᏇᎩᏍᏖᏂ	Uzbekistan
ᎠᎹ	Vatten
ᎦᏃᏥ	Läder
ᎠᏓ	Trä
ᏥᎵ	Chile
ᎹᎫᎵ	Merkurius
ᎠᎾᏂᏍᏓᎾᎵ	Venus
ᎦᏬᏂᎯᏍᏗ	Språk
ᏧᏈᏓ	Jupiter
ᏳᏪᏅᏍ	Uranus
