ܐܦܪܝܩܐ	Afrika
ܠܫܢܐ ܕܗܣܝܐܢܓ	Xiang (dialekt)
ܠܫܢܐ ܥܪܒܝܐ	Arabiska
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	Afrikaans
Β	Beta
Γ	Gamma
Δ	Delta
Ε	Epsilon
Ζ	Zeta
Η	Eta
Θ	Theta
Ι	Jota
Κ	Kappa (bokstav)
Ν	Ny
Ξ	Xi
Ο	Omikron
Ρ	Rho
Σ	Sigma
Τ	Tau
Υ	Ypsilon
Χ	Chi
Ψ	Psi
ܐܬܐ	Flagga
ܟܪܦܬܐ	Möbel
ܟܘܪܣܝܐ	Stol
ܣܦܬܐ	Läpp
ܦܣܡܐ	Mustasch
ܥܩܠܐ	Fot
1000000000 (ܡܢܝܢܐ)	Miljard
ܓܪܡܐ ܕܨܕܥܐ	Tinningben
ܩܠܝܕܐ (ܓܪܡܐ)	Nyckelben
ܟܬܦܐ	Axel (kroppsdel)
ܩܠܒܐ:Link FA	Mall:Link FA
ܥܠܡܐ (ܐܪܥܐ)	Världen
ܘܝܩܝܦܕܝܐ:ܬܪܥܐ ܕܟܢܫܐ	Wikipedia:Bybrunnen
ܒܝܪܡܘܢܬ	Vermont
ܩܘܣܛܢܛܝܢܘܦܘܠܝܣ	Konstantinopel
ܒܝܬ ܟܪܝܗܐ	Sjukhus
ܥܕܬܐ	Kyrka
ܕܝܬܝܩܝ ܚܕܬܐ	Nya Testamentet
9 (ܡܢܝܢܐ)	9 (tal)
1002	1002
ܦܘܕܘܠܣܟ	Podolsk
ܦܐܦܐ	Påve
5	5
4	4
ܢܝܒܐ	Hörntand
3	3
2	2
ܒܝܬ ܥܬܩܐ ܕܠܘܒܪ	Louvren
ܓܒܐ ܕܚܐܪܘܬܐ ܕܦܘܐܪܛܘ ܪܝܩܘ	Puertoricanska självständighetspartiet
6	6
ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Gamla Testamentet
ܥܐܕܐ ܕܒܝܬ ܝܠܕܐ	Jul
ܠܫܢܐ ܪܘܡܐܢܣܝܐ	Romanska språk
ܡܬܠܬܐ	Triangel
ܫܢܬܐ ܟܒܝܫܬܐ	Skottår
ܡܘܥܡܪ ܐܠܩܕܐܦܝ	Muammar al-Gaddafi
ܥܐܕܐ ܕܩܝܡܬܐ	Påsk
ܢܝܘ ܝܘܪܩ	New York (olika betydelser)
ܢܦܛܐ	Petroleum
ܣܐܘܢܐ	Sko
ܒܝܬ ܥܘܪܦܢܐ	Bank
ܟܪܡܐ	Vingård
ܐܝܪܠܢܕ (ܓܙܪܬܐ)	Irland (ö)
1	1
ܠܘ ܫܘܢ	Lu Xun
10	10
20	20
9	9
7	7
8	8
7 (ܡܢܝܢܐ)	7 (tal)
8 (ܡܢܝܢܐ)	8 (tal)
12	12
ܡܠܐܐ ܘܬܘܒܐ	Tidvatten
ܫܒܘܥܐ	Vecka
ܓܠܝܕܐ	Is
ܨܠܘܬܐ ܡܪܢܝܬܐ	Herrens bön
ܝܡܬܐ	Insjö
ܝܡܐ ܣܘܡܩܐ	Röda havet
13	13
ܩܛܘܬܐ (ܝܥܝܬܐ)	Gurka
ܓܙܪܬܐ	Ö (landområde)
ܚܘܪܐ	Vit
ܐܘܟܡܐ	Svart
6 (ܡܢܝܢܐ)	6 (tal)
ܠܫܢܐ ܪܘܫܡܝܐ	Officiellt språk
11	11
15	15
14	14
17	17
ܣܦܪ ܡܠܐ	Ordbok
18	18
19	19
16	16
21	21
ܦܠܣܛܝܢ	Palestina
10 (ܡܢܝܢܐ)	10 (tal)
ܡܣܘܪܩܐ (ܡܐܢܐ)	Kam
ܠܝܠܐ ܕܘܢܤ	Lila Downs
ܝܡܐ ܕܡܠܚܐ	Döda havet
ܫܘܚܠܦܐ ܕܫܢܬܐ	Årstid
ܠܝܒܪܦܘܠ	Liverpool
ܩܘܦܬܐ (ܛܝܪܐ)	Ugglor
ܫܥܬܐ	Timme
ܢܐܘܝ ܕܘܪ ܟܪܘܠܣܟܝ	Nowy Dwór Królewski
ܐܪܙܦܬܐ	Hammare (handverktyg)
ܝܘܢܫܘܦܝܢ	Jönköping
ܥܘܠܐ ܚܝܐ	Foster
ܐܠܦܒܝܬ ܣܘܪܝܝܐ	Syriska alfabetet
ܐܣܝܐ ܡܥܪܒܝܬܐ	Sydvästasien
ܫܓܠܐ	Hoppa hage
ܩܠܦܬܐ ܕܒܣܡܐ	Kanel
ܡܙܬܐ	Hår
ܠܫܢܐ ܐܪܡܝܐ	Arameiska
ܨܦܪܐ (ܛܝܪܐ)	Sparvfinkar
ܐܦܣܩܘܦܐ	Biskop
ܨܝܢ (ܐܪܥܐ)	Kina (region)
ܓܒܐ ܕܝܡܘܩܪܛܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Demokratiska partiet
ܒܝܐܛܪܝܟܣ ܕܒܝܬ ܗܘܠܢܕܝܐ	Beatrix av Nederländerna
ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Kungariket Nederländerna
ܐܒܪܝܠ ܠܐܒܝܢ	Avril Lavigne
ܪܝܫ ܩܘܛܢܝܘܬܐ	President
ܐܚܐ (ܒܝܬܝܘܬܐ)	Syskon
ܐܪܒܝܐ	Arabiska halvön
ܡܪܩܘܣ ܐܘܢܓܠܣܛܐ	Markus (evangelist)
ܥܘܠܐ	Embryo
ܠܫܢܐ ܕܗܟܐ	Hakka (språk)
ܫܘܫܡܢܝܬܐ (ܝܥܝܬܐ)	Kardemumma
ܠܫܢܐ ܕܓܐܢ	Gan (dialekt)
ܒܝܬ ܥܬܩܐ	Museum
ܐܠܦܒܝܬ ܥܒܪܝܐ	Hebreiska alfabetet
ܠܫܢܐ ܣܘܪܝܝܐ	Syriska
ܐܝܕܐ	Hand
ܫܡܥܘܢ ܟܐܦܐ	Petrus
ܬܠ ܐܒܝܒ	Tel Aviv
ܒܐܠܦܐܪܐܝܣܘ	Valparaíso
ܛܘܪܝܐ	Turoyo
ܠܫܢܐ ܫܝܡܝܐ	Semitiska språk
ܚܘܣܢܝ ܡܘܒܐܪܟ	Hosni Mubarak
ܘܐܟܐܩܐ	Oaxaca
ܚܐܘܬܐ	Smör
ܐܘܢܓܠܝܘܢ	Evangelium (bok)
ܠܫܢܐ ܕܘܘ	Wu (dialekt)
ܪܘܛܪܕܐܡ	Rotterdam
ܩܪܛܐ	Kreta
ܐܘܪܚܐ	Väg
ܩܘܪܨܐ ܚܠܝܨܐ	CD
ܦܪܬ	Eufrat
ܩܝܘܛܘ	Kyoto
ܥܣܪܐ ܦܘܩܕܢܐ	De tio budorden
ܒܪܩܩܐ ܦܪܣܝܐ	Persiska viken
ܚܠܐ (ܕܚܝܚܐ)	Sand
ܘܪܕܐ	Rossläktet
ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Halvö
ܐܘܪܝܬܐ	Torah
ܟܘܘܝܬ (ܡܕܝܢܬܐ)	Kuwait (stad)
ܡܚܙܝܬܐ	Spegel
ܥܡܐ ܥܪܒܝܐ	Araber
ܟܘܬܐ	Fönster
ܠܫܢܐ ܝܘܢܝܐ ܥܬܝܩܐ	Klassisk grekiska
ܠܫܢܐ ܐܟܕܝܐ	Akkadiska
ܕܩܠܬ	Tigris
ܡܥܡܘܕܝܬܐ	Dop
ܩܘܢܓܘ	Kongo
ܐܝܢܛܪܠܝܢܓܘܐ	Interlingua
ܐܘܪܟܐ	Längd
ܚܠܡܐ	Dröm
ܠܫܢܐ ܩܪܕܘܝܐ	Kurdiska
ܩܡܚܐ	Mjöl
ܕܢ ܗܐܟ	Haag
ܠܫܢܐ ܦܘܢܝܩܝܐ	Feniciska
ܣܝܢܝ (ܓܙܪܬܐ ܝܒܫܢܝܬܐ)	Sinaihalvön
ܟܪܘܙܘܬܐ ܕܝܘܚܢܢ	Johannesevangeliet
ܬܪܥܐ (ܒܒܐ)	Dörr
ܪܝܗܐܢܐ	Rihanna
ܛܦܪܐ	Nagel
ܐܦܐ	Ansikte
ܨܨܐ (ܨܢܥܬܐ)	Spik
ܙܝܬܐ	Olivträd
ܬܠܝܬܝܘܬܐ	Treenighetsläran
ܓܠܠܐ	Vågrörelse
ܟܬܒܬܐ	Skrivkonst
ܪܘܚܐ ܕܩܘܕܫܐ	Den Helige Ande
100 (ܡܢܝܢܐ)	100 (tal)
ܒܘܪܟܐ	Knä
ܫܘܩܐ (ܬܐܓܪܘܬܐ)	Marknad (ekonomi)
ܒܠܛܝ	Bălți
1000000 (ܡܢܝܢܐ)	Miljon
ܛܐܒܐ	Nyhet
ܐܫܬܐ (ܐܣܝܘܬܐ)	Feber
ܩܫܬܐ ܓܪܒܝܝܬܐ ܕܐܪܥܐ	Norra halvklotet
ܡܡܘܢܐ ܕܡܝܟܪܐ	Mikroekonomi
ܠܝܕܣ	Leeds
ܥܘܩܒܪܐ	Möss
ܦܘܪܬܩܠܐ	Orange
ܒܪܩܩܐ	Havsvik
ܒܝܬ ܩܒܘܪܐ	Begravningsplats
ܐܣܝܐ (ܫܕܬܐ)	Läkare
ܦܢܛܝܩܘܣܛܝ	Pingst
ܫܓܕܬܐ	Mandel
ܟܪܘܙܘܬܐ ܕܠܘܩܐ	Lukasevangeliet
ܩܘܢܣܦܣܝܘܢ (ܗܘܦܪܟܝܐ)	Provincia de Concepción, Chile
ܢܗܪܐ ܕܝܘܪܕܢܢ	Jordan
ܣܦܪ ܝܡܐ	Strand
ܐܢܛܐܠܝܐ (ܗܘܦܪܟܝܐ)	Antalya (provins)
ܦܪܟܣܝܣ ܕܫܠܝܚܐ	Apostlagärningarna
ܥܪܘܒܬܐ ܕܚܫܐ	Långfredagen
ܚܒܘܫܝܐ	Anstalt (kriminalvård)
ܐܕܢܐ (ܗܘܦܪܟܝܐ)	Adana (provins)
ܝܘܚܢܢ ܡܥܡܕܢܐ	Johannes Döparen
ܨܠܝܒܐ	Kors
ܚܙܒܐܠܠܗ	Hizbollah
ܒܝܬ ܓܒܝܢܐ	Panna (anatomi)
ܡܙܡܘܪܐ	Psaltaren
ܐܬܘܪ	Assyrien
ܒܢܝܢܐ	Byggnad
ܚܠܒ (ܡܕܝܢܬܐ)	Aleppo
ܩܫܬܐ ܬܝܡܢܝܬܐ ܕܐܪܥܐ	Södra halvklotet
ܚܠܐ (ܚܡܪܐ)	Ättika
ܒܝܬ ܕܝܢܐ	Domstol
ܚܝܦܐ	Haifa
ܪܡܕܐܢ	Ramadan
ܫܛܪܐ ܬܐܒܝܠܝܐ ܕܓܝܢܝܣ	Guinness Rekordbok
ܟܘܕܢܝܐ	Mula
ܒܪܩܩܐ ܕܥܕܢ	Adenviken
ܓܠܝܢܐ ܕܝܘܚܢܢ	Uppenbarelseboken
ܐܫܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Stjärt
ܨܠܘܬܐ ܡܪܝܡܝܬܐ	Ave Maria
ܝܩܕܐ	Bränsle
ܝܨܝܠܐ	Armbågsled
ܟܗܢܐ	Präst
ܕܩܢܐ	Skägg
ܢܒܝܐ	Profet
ܐܘܪܟܝܣܛܪܐ	Orkester
1000 (ܡܢܝܢܐ)	1000 (tal)
ܣܘܦܝܐ ܪܘܛܐܪܘ	Sofija Rotaru
ܬܫܢܝܬܐ	Försäkring
ܛܘܟܣܐ	Organisation
ܣܦܪܓܠܐ	Kvitten
ܐܢܕܪܐܘܣ ܫܠܝܚܐ	Andreas (apostel)
ܬܪܥܣܪ ܫܠܝܚܐ	Kristendomens apostlar
ܢܩܒܬܐ	Hona
ܕܪܥܐ (ܗܕܡܐ)	Arm
ܡܬܝ ܡܟܣܐ	Matteus
ܬܐܘܡܐ ܫܠܝܚܐ	Tomas (apostel)
ܦܝܠܝܦܘܣ ܫܠܝܚܐ	Filippos
ܒܘܪܨܐ (ܗܘܦܪܟܝܐ)	Bursa (provins)
ܐܝܘܐܢܢܝܣ ܦܘܡܐ ܕܕܗܒܐ	Johannes Chrysostomos
ܒܢܝܡܝܢ ܢܬܢܝܗܘ	Benjamin Netanyahu
ܐܪܬܒܝܢ (ܗܘܦܪܟܝܐ)	Artvin (provins)
ܓܒܝܢܐ	Ögonbryn
ܫܘܪܬܐ	Navel
ܐܕܝܐܡܐܢ (ܗܘܦܪܟܝܐ)	Adıyaman (provins)
ܝܗܘܕܐ ܫܠܝܚܐ	Judas Taddeus
ܒܪܬܘܠܡܝ ܫܠܝܚܐ	Bartolomaios
ܝܥܩܘܒ ܒܪ ܙܒܕܝ	Jakob (apostel)
ܝܘܚܢܢ ܫܠܝܚܐ	Johannes (apostel)
ܡܬܝܐ ܫܠܝܚܐ	Mattias (apostel)
ܝܥܩܘܒ ܒܪ ܚܠܦܝ	Jakob (apostel, Alfeus son)
ܕܟܪܐ	Hane
ܐܝܓܢܐܛܝܘܣ ܢܘܪܢܐ	Ignatios av Antiochia
ܪܕܝܘܗܕ	Radiohead
ܒܫܐܪ ܐܠܐܣܕ	Bashar al-Assad
ܪܚܝܐ	Kvarn
ܨܘܡܐ	Fasta
ܕܝܪܐ	Kloster
ܠܡܐܢܐ	Hamn
ܡܠܚܐ (ܢܘܛܐ)	Sjöman
ܐܦܝܘܢ (ܗܘܦܪܟܝܐ)	Afyonkarahisar (provins)
ܡܝܟܐܝܠ (ܡܠܐܟܐ)	Mikael (ärkeängel)
ܒܝܠܓܝܟ (ܗܘܦܪܟܝܐ)	Bilecik (provins)
ܒܝܬ ܥܬܩܐ ܕܐܣܪܐܝܠ	Israel Museum
ܒܐܠܝܟܣܝܪ (ܗܘܦܪܟܝܐ)	Balıkesir (provins)
ܒܝܬ ܝܠܕܐ	Födelsedag
ܬܘܠܥܐ	Maskar
ܬܘܩܢ ܓܝܕܝܐ ܩܢܛܪܘܢܝܐ	Centrala nervsystemet
ܛܘܪܐ ܕܓܠܝܕܐ	Isberg
ܢܢܥܐ	Myntasläktet
ܩܠܒܐ:Commonscat	Mall:Commonscat
ܒܨܪܐ (ܡܕܝܢܬܐ)	Basra
ܐܓܪܬܐ ܕܠܘܬ ܪܗܘܡܝܐ	Romarbrevet
ܬܡܪܐ ܕܥܝܢܐ	Ögonlock
ܗܘܦܪܟܝܣ ܕܛܘܪܩܝܐ	Turkiets provinser
ܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ	Sankt Göran
ܐܣܘܬܐ ܕܠܐ ܬܚܘܡܐ	Läkare utan gränser
ܐܪܙܐ (ܡܫܝܚܝܘܬܐ)	Sakrament
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܝܦܣܝܐ	Filipperbrevet
ܐܢܛܘܠܝܐ	Anatolien
ܡܫܝܚܐ	Messias
ܚܫܡܝܬܐ ܐܚܪܝܬܐ	Jesu sista måltid
ܩܢܘܢܐ ܕܗܝܡܢܘܬܐ	Apostoliska trosbekännelsen
ܒܢܝ ܐܝܣܪܐܝܠ	Israeliter
ܡܓܘܫܐ ܬܠܬܐ	Tre vise männen
ܝܘܚܢܢ ܕܪܡܣܘܩܝܐ	Johannes från Damaskus
ܒܒܐ (ܬܪܥܐ)	Grind
ܣܕܪܐ:ܪܘܟܒ ܫܘܠܛܢܘܬܐ	Kategori:Statsskick
ܠܫܢܐ ܕܡܝܢ	Min (språk)
ܥܘܪܡܫܐ	Miljöförstöring
ܒܒܠ (ܗܘܦܪܟܝܐ)	Babil
ܫܘܡܪܐ	Sot
ܐܫܩܠܘܢ	Ashkelon
ܕܘܢܒܐ	Svans
ܩܐܕܣܝܐ (ܗܘܦܪܟܝܐ)	Al-Qadisiyya (provins)
ܡܪܝܡ ܡܓܕܠܝܬܐ	Maria från Magdala
ܡܪܪܬܐ	Gallblåsa
ܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Kaldeisk-katolska kyrkan
ܥܕܬܐ ܡܪܘܢܝܬܐ	Syrisk-maronitiska kyrkan
ܡܪܬܐ	Galla
ܩܘܪܒܢܐ	Nattvard
ܐܘܘܫܐ	Öronvax
ܕܡܥܬܐ	Tårar
ܥܡܬܐ (ܒܝܬܝܘܬܐ)	Tant
ܥܡܐ (ܒܝܬܝܘܬܐ)	Onkel
ܟܘܬܝܢܐ	Skjorta
ܝܘܗܐܢ ܐܠܙܪ	Georg Elser
ܒܝܢܓܘܠ (ܗܘܦܪܟܝܐ)	Bingöl (provins)
ܥܡܐ ܐܪܡܢܝܐ	Armenier
ܐܝܕܝܢ (ܗܘܦܪܟܝܐ)	Aydın (provins)
ܩܛܠܥܡܐ ܐܪܡܢܝܐ	Armeniska folkmordet
ܐܡܐܣܝܐ (ܗܘܦܪܟܝܐ)	Amasya (provins)
ܦܪܝܙܘܢ ܒܪܝܟ	Prison Break
ܐܓܪܝ (ܗܘܦܪܟܝܐ)	Ağrı (provins)
ܒܘܪܕܘܪ (ܗܘܦܪܟܝܐ)	Burdur (provins)
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ	Första Korinthierbrevet
ܝܗܘܕܐ ܣܟܪܝܘܛܐ	Judas Iskariot
ܐܒܪܐ	Fjäder (biologi)
ܡܚܪܐ	Ingenjör
ܚܪܛܘܡܢܐ	Kikärt
ܐܬܪܘܬܐ ܕܫܐܡ	Levanten
ܬܪܘܕܐ	Sked
ܓܒܪܐܝܠ (ܡܠܐܟܐ)	Gabriel
ܓܪܡܦܝܠܐ	Elfenben
ܨܘܪ	Tyros
ܒܘܠܘ (ܗܘܦܪܟܝܐ)	Bolu (provins)
ܙܢܩܐ	Haka
ܨܘܡܐ ܕܐܪܒܥܝܢ	Påskfastan
ܐܓܪܐ ܕܒܢܝܢܐ	Yttertak
ܒܝܛܠܝܣ (ܗܘܦܪܟܝܐ)	Bitlis (provins)
ܓܠܝܠܐ	Galileen
ܡܘܨܠ	Mosul
ܟܪܬܐ	Tumme
ܦܐܦܐ ܫܢܘܕܐ ܬܠܝܬܝܐ	Shenouda III
ܒܝܬ ܓܘܣܐ	Stridsvärn
ܒܝܥܬܐ	Ägg (livsmedel)
ܒܣܕܝܐ	Kudde
ܙܓܐ (ܢܩܘܫܐ)	Klocka
ܫܒܬܐ (ܝܗܘܕܝܘܬܐ)	Sabbat
ܫܡܝܪܡ	Semiramis
ܫܝܓܪܐ	Tandkött
ܝܗ	Tetragrammaton
ܟܪܘܙܘܬܐ ܕܡܪܩܘܣ	Markusevangeliet
ܐܓܪܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ ܕܬܪܬܝܢ	Andra Korinthierbrevet
ܫܥܘܬܐ (ܡܠܘܐܐ)	Vax
ܛܥܡܐ	Grundsmak
ܓܢܬ ܫܒܪܐ	Barnträdgård
ܝܡܬܐ ܕܓܠܝܠܐ	Gennesaretsjön
ܕܝܘܬܐ	Bläck
ܡܪܝ ܝܘܣܦ	Josef från Nasaret
ܠܘܩܐ ܐܘܢܓܠܣܛܐ	Lukas
ܐܓܪܬܐ ܕܠܘܬ ܥܒܪܝܐ	Hebreerbrevet
ܐܓܪܬܐ ܕܠܘܬ ܓܠܛܝܐ	Galaterbrevet
Ϝ	Digamma
Ϙ	Koppa
ܥܛܡܐ	Lår
ܬܢܢܐ	Rök
ܡܘܚܘܢܐ	Lillhjärnan
ܐܓܪܬܐ ܕܠܘܬ ܩܘܠܣܝܐ	Kolosserbrevet
ܐܓܪܬܐ ܕܝܥܩܘܒ	Jakobsbrevet
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܝܘܚܢܢ	Första Johannesbrevet
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܡܘܢ	Filemonbrevet
ܐܓܪܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ ܕܬܪܬܝܢ	Andra Thessalonikerbrevet
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ	Första Thessalonikerbrevet
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܦܛܪܘܣ	Första Petrusbrevet
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܦܛܪܘܣ	Andra Petrusbrevet
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ	Första Timotheosbrevet
Ϛ	Stigma
ܡܪܕܝܢ (ܗܘܦܪܟܝܐ)	Mardin (provins)
ܚܡܨ (ܡܕܝܢܬܐ)	Homs
Ͳ	Sampi
ܘܐܟܐܩܐ ܕܝ ܟܘܐܪܝܣ	Oaxaca de Juárez
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܝܘܚܢܢ	Andra Johannesbrevet
ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ	Tredje Johannesbrevet
ܐܓܪܬܐ ܕܝܗܘܕܐ	Judasbrevet
ܐܓܪܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ	Andra Timotheosbrevet
ܐܓܪܬܐ ܕܠܘܬ ܛܛܘܣ	Titusbrevet
ܐܟܪܐ	Bonde
ܓܘܣܢܐ	Flykting
Ϻ	San
ܩܠܝܕܐ (ܡܐܢܐ)	Nyckel
ܥܕܥܐܕܐ	Festival
ܐܪܒܝܠ (ܡܕܝܢܬܐ)	Arbil
ܪܓܠܐ	Ben (kroppsdel)
ܚܨܐ	Rygg
ܐܠܝܐ ܢܒܝܐ	Elia
ܙܚܘܪܝܬܐ (ܬܘܠܥܬܐ)	Silkesfjäril
ܚܘܦܝܐ	Eklips
ܡܚܛܐ	Synål
ܥܠܡܐ ܥܪܒܝܐ	Arabvärlden
ܦܓܘܕܬܐ	Betsel
ܩܛܡܐ	Aska
ܢܘܗܕܪܐ (ܡܕܝܢܬܐ)	Dihok
ܨܒܥܐ ܕܪܓܠܐ	Tå
ܢܓܪܘܬܐ	Timmerman
ܠܘܚܐ (ܚܫܘܒܬܐ)	Surfplatta
ܪܒܝܬܐ	Ocker
ܡܟܝܪܘܬܐ	Förlovning
ܫܘܪܡܐ	Ändtarm
ܐܪܡܝܐ (ܢܒܝܐ)	Jeremia
ܬܐܡܐ	Tvillingar
ܬܠܝܦܐ	Ögonfrans
ܫܥܬܐ ܕܐܪܥܐ	Earth Hour
ܦܪܡܝܬܐ	Knapp
ܟܘܟܒܐ ܕܕܘܝܕ	Davidsstjärna
ܡܪܝ ܐܣܛܦܢܘܣ	Stefanos
ܡܫܡܫܢܐ	Diakon
ܢܓܒ	Negev
ܟܢܥܢ	Kanaan
ܢܘܨܦܐ	Skymning
ܒܝܢܐ	Tamarisk
ܬܓܪܝܬ	Tikrit
ܚܠܐ (ܥܦܪܐ)	Damm (stoft)
ܬܪܥܐ ܕܕܡܐ	Blödning
ܥܪܒܐ ܕܫܡܫܐ	Solnedgång
ܐܡܝܫܐ	Träsk
ܡܨܥܝܬܐ (ܨܒܥܐ)	Långfinger
ܩܘܪܨܠܐ	Vrist
ܒܪ ܐܝܕܐ	Handskar
ܢܫܒܐ ܕܥܝܢܐ	Näthinna
ܬܘܩܢ ܓܝܕܝܐ ܡܚܕܘܪܝܐ	Perifera nervsystemet
ܓܓܘܠܬܐ	Golgata
ܗܢܝܢܐ (ܡܡܫܚܘܬܐ)	Ränta
ܐܫܘܪ ܒܢܐܦܠ	Ashurbanipal
ܓܕܫܐ	Olycka
ܦܛܪܝܪܟܐ	Patriark (kyrkligt ämbete)
ܚܟܐ	Gom
ܪܓܫܐ	Sinne
ܟܪܟ ܣܠܘܟ (ܡܕܝܢܬܐ)	Kirkuk
ܒܒܬܐ	Pupill
ܩܒܪܐ	Gravskick
ܠܒܘܢܬܐ	Olibanum
ܚܡܬ (ܡܕܝܢܬܐ)	Hamah
ܝܫܛܐ	Matstrupe
ܟܝܣܐ ܕܐܫܟܐ	Scrotum
ܕܒܪܐ	Landsbygd
ܚܪܘܫܬܐ	Luftstrupe
ܓܪܡܐ ܕܥܛܡܐ	Lårben
ܒܪܐ (ܒܝܬܝܘܬܐ)	Son
ܫܚܘܪܐ	Träkol
ܐܘܟܡܐ ܕܥܝܢܐ	Regnbågshinna
ܫܦܠܘܗܝ ܕܢܝܠܘܣ	Nildeltat
ܐܘܪܡܝܐ	Urmia
Ϸ	Sjo
ܓܙܪܬܐ ܐܝܘܠܝܬܐ	Eoliska öarna
ܓܒܐ ܕܒܥܬ	Baathpartiet
ܦܩܪܐ	Ryggkota
ܒܪ ܩܠܐ	Eko
ܟܝܡܪܐ	Chimaira
ܠܘܓܡܐ	Överkäke
ܛܪܘܢܐ	Diktator
ܬܝܒܘܬܐ	Botens sakrament
ܡܛܘܚܬܐ	Pekfinger
ܩܒܠܘܬܐ	Barnmorska
ܐܪܙܝܪܐ	Starar
ܣܦܪܐ (ܩܢܘܢܝܐ)	Jurist
Ͱ	Heta
ܥܡܐ ܐܪܡܝܐ	Araméer
ܟܢܘܢܬܐ (ܫܪܝܬܐ)	Handled
ܐܒܐ (ܐܠܗܐ)	Fadern
ܐܢܒܐܪ (ܗܘܦܪܟܝܐ)	Al-Anbar
ܡܪܕܝܢ (ܡܕܝܢܬܐ)	Mardin
ܡܘܪܘܢ	Konfirmation
ܚܠܡܬܐ	Bröstvårta
ܢܘܠܐ ܕܓܘܓܝ	Spindelnät
ܒܪܬ ܙܘܓܐ (ܒܝܬܝܘܬܐ)	Maka (äktenskap)
ܒܝܬ ܟܬܒܐ ܐܬܪܝܐ ܕܐܣܪܐܝܠ	National Library of Israel
ܥܪܫܐ	Molarer
ܢܝܢܘܐ (ܗܘܦܪܟܝܐ)	Ninawa
ܢܘܗܕܪܐ (ܗܘܦܪܟܝܐ)	Dahuk (provins)
ܘܐܣܛ (ܗܘܦܪܟܝܐ)	Wasit
ܨܠܐܚ ܐܠܕܝܢ (ܗܘܦܪܟܝܐ)	Saladin (provins)
ܟܢܘܫܝܐ ܕܠܫܢܐ ܥܒܪܝܐ	Akademin för det hebreiska språket
ܥܘܕ	Oud
ܒܓܕܐܕ (ܗܘܦܪܟܝܐ)	Bagdad (provins)
ܣܪܓܐ	Sadel
ܒܨܪܐ (ܨܒܥܐ)	Ringfinger
ܩܛܝܣܦܘܢ	Ktesifon
ܟܒܘܫܐ	Mardröm
ܢܓܦ (ܗܘܦܪܟܝܐ)	Najaf (provins)
ܟܪܟ ܣܠܘܟ (ܗܘܦܪܟܝܐ)	Kirkuk (provins)
ܕܢܚܐ ܕܫܡܫܐ	Soluppgång
ܬܐܪܬܐ	Samvete
ܒܨܪܐ (ܗܘܦܪܟܝܐ)	Basra (provins)
ܡܫܚܐ ܕܟܪܝܗܐ	De sjukas smörjelse
ܦܠܫܬ	Filistéer
ܐܠܥܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Revben
ܥܕܬܐ ܐܝܓܘܦܛܝܬܐ	Koptisk-ortodoxa kyrkan
ܐܢܛܝܘܟܝܐ	Antiochia vid Orontes
ܐܦܪܝܡ ܣܘܪܝܝܐ	Efraim syriern
ܪܝܫܘܢ ܠܬܣܝܘܢ	Rishon LeZion
ܟܢܪܐ	Lyra
ܥܕܬܐ ܕܡܕܢܚܐ ܕܐܬܘܪܝܐ	Österns assyriska kyrka
ܬܠܐ ܕܚܕ ܐܝܠܢ	One Tree Hill
ܡܘܪܐ	Myrra
ܦܕܪܠܝܐ	Federalism
ܐܠܝܫܥ	Elisha
ܗܟܐܪܝ (ܡܕܝܢܬܐ)	Hakkari
ܣܢܚܪܝܒ	Sanherib
ܩܘܪܝܐܠܝܣܘܢ	Kyrie eleison
ܟܢܘܫܝܐ ܕܐܣܪܐܝܠ ܕܝܘܠܦܢܐ ܘܐܢܫܝܬܐ	Israel Academy of Sciences and Humanities
ܣܘܟܢܐ	Roder
ܥܕܬܐ ܣܘܪܝܝܬܐ ܐܪܬܘܕܟܣܝܬܐ	Syrisk-ortodoxa kyrkan
