ལོ་རྒྱུས།	Historia
པ་སངས།	Venus
སྐད་རིགས།	Språk
བརྩེ་དུང་།	Kärlek
ཕུར་བུ།	Jupiter
སྐར་མ་གནམ་རྒྱལ།	Uranus
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Neptunus
སེང་ག་ཕོར།	Singapore
ཚན་རིག	Vetenskap
མིར་ཡམ །	Jungfru Maria
ལི་ཆེ་ཏན་སཏིན།	Liechtenstein
ལུས་རྩལ།	Sport
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Adolf Hitler
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Första världskriget
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Andra världskriget
ཧྥུ་ཐ་ཅ་ཨ་རག	Vodka
སི་ཀོཔ་ཇི།	Skopje
རྩིས་རིག	Matematik
ལ་ཏིན་སྐད།	Latin
བྷཧ་རཡིན།	Bahrain
ཨར་མེ་ནི་ཡ།	Armenien
སེར་བྷི་ཡ།	Serbien
ཟླ་བ།	Månen
ཨོ་སེ་ཐེ་ལི་ཡ།	Australien
དངོས་ཁམས་རིག་པ་	Fysik
ཨར་ཇེན་ཊི་ན།	Argentina
པེ་རུ།	Peru
སྐྱེ་དངོས་རིག་པ།	Biologi
བྱང་ཀོ་རི་ཡ།	Nordkorea
ཁམ་པོ་ཛ།	Kambodja
ཁུ་རན་གསུང་རབ།	Koranen
དབྱི་སི་ལམ་ཆོས་ལུགས།	Islam
ལི་པོ་ཡ་ན།	Ljubljana
རྩི་ཤིང་རིག་པ།	Botanik
ལིས་ཆི་ཝེ་ལིས་ས།	Lech Wałęsa
འཁོར་ལོ།	Hjul
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	Encyclopédie
ཏེའུ་ཏེ་རོ།	Denis Diderot
ཞི་བདེ།	Fred
ལི་ཡོང་།	Lyon
བུད་མེད།	Kvinna
སོ་ཧྥི་ཡ།	Sofia
ཐང་རྗི་ཁོཏ།	Don Quijote
སྙན་ངག	Poesi
མི་ལཱན།	Milano
ཁྱིམ་དྲན་སེམས་ནད།	Minne
ཊུ་རིན།	Turin
ལེ་མོན།	Citron
ངང་ལག	Banan
མེ་ཏོག	Blomma
ཇོ་མོ་གླང་མ།	Mount Everest
གཤག་བཅོས་རིག་པ།	Anatomi
གྲོང་ཁྱེར།	Stad
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Vesuvius
ཉི་མ།	Solen
གྲོང་ཚོ།	By
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Oceanien
ཉི་མའི་ཁྱིམ་རྒྱུད།	Solsystemet
ཨན་ཇེ་ལ་མེར་ཁེལ།	Angela Merkel
ཉིན་མོ།	Dygn
ཤར་ཏིམོར།	Östtimor
དགོང་མོ།	Natt
ལོ་	År
རེན་གཙང་པོ།	Rhen
ཨོ་སི་ལོ།	Oslo
བྷོ་ཨིན།	Bonn
ནག་ཁུང་།	Svart hål
ལི་སི་བཱོན།	Lissabon
ལུའོ་ནེའུ་གཙང་པོ།	Rhône
མིའི་རིགས་ཀྱི་ཆགས་སྦྱོར་གྱི་བྱ་སྤྱོད།	Sex (aktivitet)
ཧྥོར་ཅཱ་གཙང་པོ།	Volga
གསོ་རླུང་།	Syre
གཡོ་སྐར།	Planet
རོལ་དབྱངས།	Musik
ཝེ་ནེ་ཟི་ཡ།	Venedig
པོ་གཙང་པོ།	Po
མོ་སི་ཁོ།	Moskva
ཨི་ཏ་ལིའི་སྐད།	Italienska
སན་པི་ཏི་པོག	Sankt Petersburg
ཆཱ་ཌ།	Tchad
བྱང་ཕྱོགས།	Norr
ནིའུ་ཛི་ལེན་ཌི།	Nya Zeeland
རྒྱ་གར།	Indien
ཏུ་ཝ་ལུ།	Tuvalu
ཚིག་ལྷུག	Prosa
ཊོང་ག	Tonga
ནུབ་ཕྱོགས།	Väster
ས་མོའ།	Samoa
ཤར་ཕྱོགས།	Öster
སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	Salomonöarna
ཝ་ནུའ་ཏུ།	Vanuatu
མོའོ་ལིས་ཨེར།	Molière
པ་པུ་འ་ནིའུ་གི་ནེ།	Papua Nya Guinea
ཞེ་ཁུ་སི་པེར།	William Shakespeare
པ་ལའུ།	Palau
ནའུ་རུ།	Nauru
མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Mikronesiens federerade stater
མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	Marshallöarna
ཀི་རི་བ་ཏི།	Kiribati
སོག་ཡུལ།	Mongoliet
ཧྥི་ཇི།	Fiji
ཝེ་ནེ་ཟུའེ་ལ།	Venezuela
རྒྱལ་སྤྱིའི་མིག་མངས།	Schack
རྟ།	Häst
ཨེམ་སི་ཊར་ཌམ།	Amsterdam
མཚོན་ཆ།	Vapen
སུ་རི་ནེམ།	Surinam
པ་ར་གུ་ཡེ།	Paraguay
གུ་ཡ་ན།	Guyana
སྒྱུ་རྩལ།	Konst
ཨེ་ཁོའོ་ཌོར།	Ecuador
ཁོ་ལོམ་བི་ཡ།	Colombia
ནང་བསྟན།	Buddhism
བྷོ་ལི་ཝི་ཡ།	Bolivia
ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	Trinidad och Tobago
