ʻApelika	Afrika
Iāpana	Japan
‘Amelika Hema	Sydamerika
Nolewai	Norge
ʻIlelani	Irland
Hunakalia	Ungern
Sepania	Spanien
‘Amelika Hui Pū ‘ia	USA
Pelekiuma	Belgien
Lukemapuka	Luxemburg
Honua	Jorden
Keoki Wakinekona	George Washington
Pinilana	Finland
Kuekene	Sverige
Kenemaka	Danmark
Pōlani	Polen
Lituania	Litauen
ʻĪkālia	Italien
Kuikilani	Schweiz
ʻAukekulia	Österrike
Helene	Grekland
Tureke	Turkiet
Potugala	Portugal
‘Eulopa	Europa
‘Ākia	Asien
‘Amelika ‘Ākau	Nordamerika
‘Ane‘ālika	Antarktis
Wikipikia	Wikipedia
Hōlani	Nederländerna
Wakinekona, D.C.	Washington, D.C.
Kapalakiko	San Francisco
Pelelina	Berlin
Barack Obama	Barack Obama
Lākana	London
Palika	Paris
Mekiko	Mexiko
Moana ʻAkelanika	Atlanten
Moana Pākīpika	Stilla havet
Kaleponi	Kalifornien
Pokekona	Boston
Pō‘akahi	Måndag
Ianuali	Januari
Pepeluali	Februari
Malaki	Mars (månad)
Hōkū‘ula	Mars (planet)
Kenia	Kenya
‘Aikiopia	Etiopien
‘Apelila	April
Mei	Maj
Iune	Juni
Iulai	Juli
‘Aukake	Augusti
Kepakemapa	September
‘Okakopa	Oktober
Nowemapa	November
Kēkēmapa	December
Pō‘alua	Tisdag
Pō‘akolu	Onsdag
Pō‘ahá	Torsdag
Pō‘alima	Fredag
Pō‘aono	Lördag
Pōpule	Söndag
Liona	Lejon
Palani	Frankrike
‘Ōlelo Ekepelānako	Esperanto
Aupuni Mōʻī Hui Pū ʻia	Storbritannien
Pōpoki	Katt
Kina	Kina
‘Ōlelo Palani	Franska
Palakila	Brasilien
Rūsia	Ryssland
Pai (makemakika)	Pi
‘Alapama	Alabama
Kelemānia	Tyskland
Belarusa	Vitryssland
ʻĀina Hau	Island
ʻEsetonia	Estland
Makulu	Saturnus
1 (helu)	1 (tal)
Lakawia	Lettland
ʻUkelena	Ukraina
Tiekia	Tjeckien
Solowakia	Slovakien
Solowenia	Slovenien
Molodowa	Moldavien
Romānia	Rumänien
Pulukalia	Bulgarien
Loma	Rom
Repupalika o Masedonia	Makedonien
ʻAlepania	Albanien
Koloatia	Kroatien
Bosenia me Hesegowina	Bosnien och Hercegovina
‘Akepaikana	Azerbajdzjan
ʻAnakola	Andorra
Kupelo	Cypern
Keokia	Georgien
Kasakana	Kazakstan
Malata	Malta
Monako	Monaco
Montenegero	Montenegro
Wakikana	Vatikanstaten
Sana Marino	San Marino
‘Inidonesia	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
‘Alekelia	Algeriet
Kelewikiona	Television
